10:00:12: Start[1][A]
10:00:12: Start[2][A]
10:00:12: Start[3][A]
10:04:19: Start[4][A]
10:04:19: Start[5][A]
10:27:01: Chip: 20160020; Nr: 20; (10:27:01,1);
10:27:01: Chip: 20180009; Nr: 9; (10:27:01,3);
10:27:01: Chip: 19; Nr: 19; (10:27:01,3);
10:27:03: Chip: 20181015; Nr: 1015; (10:27:03,3);
10:27:03: Chip: 20160020; Nr: 20; (10:27:03,6);
10:27:05: Chip: 20180059; Nr: 59; (10:27:04,8);
10:27:05: Chip: 20160020; Nr: 20; (10:27:04,8);
10:27:05: Chip: 467; Nr: 467; (10:27:05,1);
10:27:05: Chip: 358; Nr: 358; (10:27:05,3);
10:27:06: Chip: 454; Nr: 454; (10:27:05,6);
10:27:06: Chip: 20160020; Nr: 20; (10:27:06,1);
10:27:07: Chip: 20182761; Nr: 2761; (10:27:06,6);
10:27:08: Chip: 168; Nr: 168; (10:27:07,6);
10:27:08: Chip: 20160020; Nr: 20; (10:27:07,6);
10:27:08: Chip: 19; Nr: 19; (10:27:07,6);
10:27:09: Chip: 424; Nr: 424; (10:27:09,3);
10:27:10: Chip: 20160044; Nr: 44; (10:27:10,3);
10:27:13: Chip: 541; Nr: 541; (10:27:12,6);
10:27:13: Chip: 365; Nr: 365; (10:27:12,8);
10:27:14: Chip: 469; Nr: 469; (10:27:14,1);
10:27:17: Chip: 169; Nr: 169; (10:27:17,3);
10:27:18: Chip: 143; Nr: 143; (10:27:18,1);
10:27:19: Chip: 143; Nr: 143; (10:27:19,3);
10:27:20: Chip: 20180206; Nr: 206; (10:27:20,1);
10:27:21: Chip: 20180206; Nr: 206; (10:27:21,3);
10:27:25: Chip: 20180032; Nr: 32; (10:27:25,3);
10:27:30: Chip: 20189779; Nr: 9779; (10:27:30,3);
10:27:31: Chip: 368; Nr: 368; (10:27:30,8);
10:27:36: Chip: 20180902; Nr: 902; (10:27:35,8);
10:27:37: Chip: 20180902; Nr: 902; (10:27:37,1);
10:27:38: Chip: 20181976; Nr: 1976; (10:27:38,3);
10:27:39: Chip: 20180333; Nr: 333; (10:27:38,8);
10:27:39: Chip: 20160261; Nr: 261; (10:27:39,3);
10:27:40: Chip: 114; Nr: 114; (10:27:40,1);
10:27:41: Chip: 114; Nr: 114; (10:27:41,3);
10:27:41: Chip: 20181001; Nr: 1001; (10:27:41,3);
10:27:42: Chip: 20182005; Nr: 2005; (10:27:41,6);
10:27:43: Chip: 83; Nr: 83; (10:27:42,8);
10:27:43: Chip: 256; Nr: 256; (10:27:43,3);
10:27:44: Chip: 83; Nr: 83; (10:27:44,1);
10:27:45: Chip: 20182803; Nr: 2803; (10:27:45,3);
10:27:46: Chip: 20182803; Nr: 2803; (10:27:46,6);
10:27:47: Chip: 20160370; Nr: 370; (10:27:46,8);
10:27:48: Chip: 20160370; Nr: 370; (10:27:48,1);
10:27:49: Chip: 457; Nr: 457; (10:27:48,8);
10:27:50: Chip: 409; Nr: 409; (10:27:49,8);
10:27:51: Chip: 173; Nr: 173; (10:27:50,8);
10:27:51: Chip: 409; Nr: 409; (10:27:51,1);
10:27:52: Chip: 173; Nr: 173; (10:27:52,1);
10:27:53: Chip: 165; Nr: 165; (10:27:52,8);
10:27:55: Chip: 20180777; Nr: 777; (10:27:55,3);
10:27:59: Chip: 287; Nr: 287; (10:27:58,6);
10:28:04: Chip: 360; Nr: 360; (10:28:03,6);
10:28:05: Chip: 352; Nr: 352; (10:28:04,6);
10:28:05: Chip: 360; Nr: 360; (10:28:04,8);
10:28:05: Chip: 384; Nr: 384; (10:28:05,1);
10:28:06: Chip: 352; Nr: 352; (10:28:05,8);
10:28:07: Chip: 340; Nr: 340; (10:28:06,8);
10:28:08: Chip: 20182010; Nr: 2010; (10:28:08,3);
10:28:08: Chip: 20181309; Nr: 1309; (10:28:08,3);
10:28:09: Chip: 405; Nr: 405; (10:28:08,6);
10:28:10: Chip: 405; Nr: 405; (10:28:09,8);
10:28:10: Chip: 20180100; Nr: 100; (10:28:10,3);
10:28:11: Chip: 428; Nr: 428; (10:28:10,6);
10:28:11: Chip: 343; Nr: 343; (10:28:10,8);
10:28:12: Chip: 280; Nr: 280; (10:28:11,6);
10:28:12: Chip: 172; Nr: 172; (10:28:12,1);
10:28:14: Chip: 20181104; Nr: 1104; (10:28:14,1);
10:28:15: Chip: 345; Nr: 345; (10:28:14,8);
10:28:15: Chip: 172; Nr: 172; (10:28:15,1);
10:28:15: Chip: 20181104; Nr: 1104; (10:28:15,6);
10:28:16: Chip: 345; Nr: 345; (10:28:16,1);
10:28:16: Chip: 172; Nr: 172; (10:28:16,3);
10:28:17: Chip: 430; Nr: 430; (10:28:16,6);
10:28:18: Chip: 20180016; Nr: 16; (10:28:17,6);
10:28:18: Chip: 439; Nr: 439; (10:28:18,1);
10:28:18: Chip: 172; Nr: 172; (10:28:18,3);
10:28:19: Chip: 20180016; Nr: 16; (10:28:18,8);
10:28:19: Chip: 520; Nr: 520; (10:28:18,8);
10:28:19: Chip: 172; Nr: 172; (10:28:19,6);
10:28:23: Chip: 172; Nr: 172; (10:28:22,8);
10:28:25: Chip: 20182012; Nr: 2012; (10:28:24,6);
10:28:25: Chip: 172; Nr: 172; (10:28:25,3);
10:28:26: Chip: 20181964; Nr: 1964; (10:28:25,6);
10:28:27: Chip: 172; Nr: 172; (10:28:26,8);
10:28:30: Chip: 172; Nr: 172; (10:28:30,6);
10:28:31: Chip: 371; Nr: 371; (10:28:31,3);
10:28:32: Chip: 135; Nr: 135; (10:28:31,8);
10:28:32: Chip: 172; Nr: 172; (10:28:32,6);
10:28:33: Chip: 544; Nr: 544; (10:28:33,1);
10:28:33: Chip: 567; Nr: 567; (10:28:33,1);
10:28:34: Chip: 544; Nr: 544; (10:28:34,6);
10:28:36: Chip: 172; Nr: 172; (10:28:36,3);
10:28:38: Chip: 172; Nr: 172; (10:28:38,6);
10:28:39: Chip: 20181980; Nr: 1980; (10:28:38,8);
10:28:40: Chip: 172; Nr: 172; (10:28:39,8);
10:28:41: Chip: 20181905; Nr: 1905; (10:28:40,6);
10:28:41: Chip: 401; Nr: 401; (10:28:40,6);
10:28:41: Chip: 395; Nr: 395; (10:28:40,6);
10:28:41: Chip: 363; Nr: 363; (10:28:40,6);
10:28:41: Chip: 172; Nr: 172; (10:28:41,3);
